11.2.7.63642
ach(61516),	-- Radiant Singer
ach(61533),	-- Skyriding Glyphs: Temple of Akil'zon
ach(61534),	-- Skyriding Glyphs: Temple of Jan'alai
ach(61535),	-- Skyriding Glyphs: Strait of Hexx'alor
ach(61536),	-- Skyriding Glyphs: Witherbark Bluffs
ach(61537),	-- Skyriding Glyphs: Nalorakk's Prowl
ach(61538),	-- Skyriding Glyphs: Zeb'Alar Lumberyard
ach(61539),	-- Skyriding Glyphs: Solemn Valley
ach(61540),	-- Skyriding Glyphs: Amani Pass
ach(61541),	-- Skyriding Glyphs: Spiritpaw Burrow
ach(61542),	-- Skyriding Glyphs: Revantusk Sedge
ach(61543),	-- Skyriding Glyphs: Blossoming Terrace
ach(61544),	-- Skyriding Glyphs: The Cradle
ach(61545),	-- Skyriding Glyphs: Roots of Teldrassil
ach(61546),	-- Skyriding Glyphs: Roots of Amirdrassil
ach(61547),	-- Skyriding Glyphs: Blooming Lattice
ach(61548),	-- Skyriding Glyphs: Roots of Nordrassil
ach(61549),	-- Skyriding Glyphs: Fungara Village
ach(61550),	-- Skyriding Glyphs: Rift of Aln
ach(61551),	-- Skyriding Glyphs: Roots of Shaladrassil
ach(61552),	-- Skyriding Glyphs: The Voidspire
ach(61555),	-- Skyriding Glyphs: The Molt
ach(61556),	-- Skyriding Glyphs: The Ingress
ach(61557),	-- Skyriding Glyphs: The Bladeburrows
ach(61558),	-- Skyriding Glyphs: Gnawing Reach
ach(61559),	-- Skyriding Glyphs: The Gorging Pit
ach(61560),	-- Skyriding Glyphs: Shadowguard Point
ach(61561),	-- Skyriding Glyphs: Obscurion Citadel
ach(61562),	-- Skyriding Glyphs: Master's Perch
ach(61563),	-- Skyriding Glyphs: Ethereum Refinery
ach(61564),	-- Skyriding Glyphs: Hanaar Outpost
ach(61565),	-- War Within Dungeon Hero
ach(61566),	-- Glory of the War Within Hero
ach(61567),	-- Midnight Dungeon Hero
ach(61568),	-- Glory of the Midnight Hero
12.0.0.63854
ach(61574),	-- Legends Never Die
ach(61576),	-- Eversong Woods Glyph Hunter
ach(61581),	-- Zul'Aman Glyph Hunter \\ Zul'aman Glyph Hunter
ach(61582),	-- Harandar Glyph Hunter
ach(61583),	-- Voidstorm Glyph Hunter
ach(61584),	-- Midnight Glyph Hunter
ach(61585),	-- You Conduit!
ach(61586),	-- Galactic Gala
ach(61595),	-- Mythic: Ara-Kara, City of Echoes Guild Run
ach(61596),	-- Mythic: Cinderbew Meadery Guild Run
ach(61597),	-- Mythic: City of Threads Guild Run
ach(61598),	-- Mythic: Darkflame Cleft Guild Run
ach(61599),	-- Mythic: Priory of the Sacred Flame Guild Run
ach(61600),	-- Mythic: The Dawnbreaker Guild Run
ach(61601),	-- Mythic: The Rookery Guild Run
ach(61602),	-- Mythic: The Stonevault Guild Run
ach(61603),	-- Mythic: Operation: Floodgate Guild Run
ach(61604),	-- Mythic: Eco-Dome Al'dani Guild Run (copy)
ach(61615),	-- Mythic: Magisters' Terrace Guild Run
ach(61618),	-- Mythic: Nexus-Point Xenas Guild Run
ach(61619),	-- Mythic: The Blinding Vale Guild Run
ach(61620),	-- Mythic: Voidscar Arena Guild Run
ach(61621),	-- Mythic: Windrunner Spire Guild Run
ach(61640),	-- Nexus-Point Xenas
ach(61641),	-- The Blinding Vale
ach(61646),	-- Heroic: Nexus-Point Xenas
ach(61647),	-- Mythic: Nexus-Point Xenas
ach(61648),	-- Heroic: The Blinding Vale
ach(61649),	-- Mythic: The Blinding Vale
ach(61650),	-- Nalorakk kills (Normal Den of Nalorakk)
ach(61651),	-- Nalorakk kills (Heroic Den of Nalorakk)
ach(61652),	-- Nalorakk kills (Mythic Den of Nalorakk)
ach(61653),	-- Rak'tul, Vessel of Souls kills (Normal Maisara Caverns)
ach(61654),	-- Rak'tul, Vessel of Souls kills (Heroic Maisara Caverns)
ach(61655),	-- Rak'tul, Vessel of Souls kills (Mythic Maisara Caverns)
ach(61656),	-- Lothraxion kills (Normal Nexus-Point Xenas)
ach(61657),	-- Lothraxion kills (Heroic Nexus-Point Xenas)
ach(61658),	-- Lothraxion kills (Mythic Nexus-Point Xenas)
ach(61659),	-- Ziekket kills (Normal The Blinding Vale)
ach(61660),	-- Ziekket kills (Heroic The Blinding Vale)
ach(61661),	-- Ziekket kills (Mythic The Blinding Vale)
ach(61678),	-- Midnight Superior
ach(61679),	-- Midnight Epic
ach(61681),	-- Abundance: You Should See Him in a Crown \\ You Should See Him in a Crown
12.0.0.63967
ach(61706),	-- Herald of the Goddess
ach(61707),	-- Delver of the Depths: Midnight
ach(61708),	-- Delver of the Depths II: Midnight
ach(61709),	-- Delver of the Depths III: Midnight
ach(61710),	-- Delver of the Depths IV: Midnight
ach(61711),	-- Midnight Delver Damage Dealer
ach(61712),	-- Midnight Delver Damage Dealer II
ach(61713),	-- Midnight Delver Damage Dealer III
ach(61714),	-- Midnight Delver Healer
ach(61715),	-- Midnight Delver Healer II
ach(61716),	-- Midnight Delver Healer III
ach(61717),	-- Midnight Delver Tank
ach(61718),	-- Midnight Delver Tank II
ach(61719),	-- Midnight Delver Tank III
ach(61720),	-- Midnight Delver
ach(61721),	-- Midnight Delver II
ach(61722),	-- Curio Enthusiast: Midnight
ach(61723),	-- Curio Fanatic: Midnight
ach(61724),	-- The Grudge Pit Stories \\ The Grudge Pit Stories NEED UPDATE
ach(61725),	-- Parhelion Plaza Stories \\ Parhelion Plaza Stories NEED UPDATE
ach(61726),	-- Collegiate Calamity Stories \\ Collegiate Calamity Stories NEED UPDATE
ach(61727),	-- The Shadow Enclave Stories \\ The Shadow Enclave Stories NEED UPDATE
ach(61728),	-- The Darkway Stories \\ The Darkway Stories NEED UPDATE
ach(61729),	-- Atal'Aman Stories \\ Atal'Aman Stories NEED UPDATE
ach(61730),	-- Twilight Crypts Stories \\ Twilight Crypts Stories NEED UPDATE
ach(61731),	-- The Gulf of Memory Stories \\ The Gulf of Memory Stories NEED UPDATE
ach(61732),	-- Sunkiller Sanctum Stories \\ Sunkiller Sanctum Stories NEED UPDATE
ach(61733),	-- Shadowguard Point Stories \\ Shadowguard Point Stories NEED UPDATE
ach(61734),	-- Midnight Delves: Endgame
ach(61739),	-- Sojourner of Harandar
ach(61741),	-- Delve Loremaster: Midnight
ach(61767),	-- Parhelion Plaza clears
ach(61768),	-- Sunkiller Sanctum clears
ach(61769),	-- Shadowguard Point clears
ach(61770),	-- Atal'Aman clears
ach(61771),	-- Collegiate Calamity clears
ach(61772),	-- The Grudge Pit clears
ach(61773),	-- The Gulf of Memory clears
ach(61774),	-- The Shadow Enclave clears
ach(61775),	-- Twilight Crypts clears
ach(61776),	-- The Darkway clears
ach(61777),	-- Torment's Rise clears
ach(61778),	-- Midnight companion levels obtained
ach(61779),	-- Midnight Tier 1 delves completed
ach(61780),	-- Midnight Tier 2 delves completed
ach(61781),	-- Midnight Tier 3 delves completed
ach(61782),	-- Midnight Tier 4 delves completed
ach(61783),	-- Midnight Tier 5 delves completed
ach(61784),	-- Midnight Tier 6 delves completed
ach(61785),	-- Midnight Tier 7 delves completed
ach(61786),	-- Midnight Tier 8 delves completed
ach(61787),	-- Midnight Tier 9 delves completed
ach(61788),	-- Midnight Tier 10 delves completed
ach(61789),	-- Midnight Tier 11 delves completed
ach(61790),	-- Midnight total delves completed
ach(61791),	-- Midnight delve completed the most
ach(61796),	-- Midnight: Journey's End (Season 1)
ach(61797),	-- My Shady Nemesis
ach(61798),	-- Lighting the Dark
ach(61799),	-- Let Me Solo Him: Nullaeus
ach(61800),	-- Midnight Delves: Tier 4 (Season 1)
ach(61801),	-- Midnight Delves: Tier 5 (Season 1)
ach(61802),	-- Midnight Delves: Tier 6 (Season 1)
ach(61803),	-- Midnight Delves: Tier 7 (Season 1)
ach(61804),	-- Midnight Delves: Tier 8 (Season 1)
ach(61805),	-- Midnight Delves: Tier 9 (Season 1)
ach(61806),	-- Midnight Delves: Tier 10 (Season 1)
ach(61807),	-- Midnight Delves: Tier 11 (Season 1)
ach(61808),	-- Fabled Let Me Solo Him: Nullaeus
ach(61809),	-- Adventurer of the Dawn
ach(61832),	-- Midnight Delves: Tier 1
ach(61835),	-- Midnight Delves: Tier 2
ach(61836),	-- Midnight Delves: Tier 3
ach(61839),	-- Midnight Pathfinder
ach(61854),	-- The Midnight Explorer
ach(61855),	-- Explore Eversong Woods \\ Explore Eversong Woods - Placeholder
ach(61856),	-- Explore Zul'Aman \\ Explore Zul'Aman - Placeholder
ach(61857),	-- Explore Voidstorm \\ Explore Voidstorm - Placeholder
ach(61858),	-- Light of the Party
ach(61859),	-- Midnight Flight Master
ach(61860),	-- From The Cradle to the Grave
ach(61861),	-- Oh, No You Don't!
ach(61863),	-- Atal'Aman Discoveries
ach(61864),	-- Sojourner of Voidstorm
ach(61892),	-- The Shadow Enclave Discoveries
ach(61893),	-- Parhelion Plaza Discoveries
ach(61894),	-- Collegiate Calamity Discoveries
ach(61895),	-- The Darkway Discoveries
ach(61896),	-- Twilight Crypts Discoveries
ach(61897),	-- The Grudge Pit Discoveries
ach(61898),	-- The Gulf of Memory Discoveries
ach(61899),	-- Sunkiller Sanctum Discoveries
ach(61900),	-- Shadowguard Point Discoveries
ach(61901),	-- Midnight: Leave No Treasure Unfound
ach(61906),	-- Glory of the Midnight Delver
ach(61910),	-- Mrglgrgl of Grglmrgl \\ Hero of Murlocs
ach(61912),	-- Anchoring the Defense
ach(61913),	-- A Singular Problem
ach(61916),	-- Rage of the Ren'dorei \\ Void Elf Demon Hunter
ach(61917),	-- "Hold aggro, I got this"
12.0.0.64124
ach(61587),	-- Keystone Victor: Magisters' Terrace (Midnight)
ach(61588),	-- Keystone Victor: Maisara Caverns
ach(61589),	-- Keystone Victor: Nexus-Point Xenas
ach(61590),	-- Keystone Victor: Windrunner Spire
ach(61591),	-- Keystone Victor: Algeth'ar Academy
ach(61592),	-- Keystone Victor: Pit of Saron
ach(61593),	-- Keystone Victor: Seat of the Triumvirate
ach(61594),	-- Keystone Victor: Skyreach
ach(61922),	-- Ninety Percent is Good Enough
ach(61937),	-- Abundance: Artisan of Mausoloa
ach(61938),	-- Abundance: Artisan of Loaknit
ach(61939),	-- Abundance: Artisan of Floaret
ach(61940),	-- Abundance: Artisan of Loanite
ach(61941),	-- Abundance: Acolyte of a Glorious Entity
ach(61942),	-- Heritage of the Haranir
ach(61943),	-- Abundance: Prosperous Plentitude!
ach(61953),	-- Putting in the Practice
ach(61954),	-- Putting in the Practice
ach(61955),	-- Putting in the Practice
ach(61956),	-- Putting in the Practice
ach(61957),	-- Sojourner of Eversong Woods \\ Sojourner of Eversong Woods (Midnight)
ach(61958),	-- Focused Target
ach(61959),	-- Focused Target
ach(61960),	-- Treasures of Eversong Woods \\ Treasures of Eversong Woods (Midnight)
ach(61961),	-- Runestone Rush
12.0.0.64228
ach(62057),	-- Midnight: The Highest Peaks
ach(62104),	-- Midnight Lore Hunter
ach(62105),	-- Lysikas Would Be Proud
ach(62107),	-- Mandatory Training
ach(62108),	-- Training with Patience
ach(62109),	-- Training with Patience
ach(62110),	-- Loremaster of Midnight
ach(62111),	-- Boots on the Ground: Arathi Basin
ach(62112),	-- Boots on the Ground: Battle for Gilneas
ach(62113),	-- Boots on the Ground: Silvershard Mines
ach(62114),	-- Learning the Landscape: Arathi Basin
ach(62115),	-- Learning the Landscape: Battle for Gilneas
ach(62116),	-- Learning the Landscape: Silvershard Mines
ach(62117),	-- Abyss Anglers: Boarhide Catch Sack \\ Abyss Anglers: Placeholder 1
ach(62118),	-- Abyss Anglers: Amazardhide Catch Case \\ Abyss Anglers: Placeholder 2
ach(62119),	-- Abyss Anglers: Loaknit-Woven Catch Satchel \\ Abyss Anglers: Placeholder 3
ach(62120),	-- Altar of Blessings: The Penitent Troll \\ Altar of Blessings: Placeholder 1
ach(62121),	-- Altar of Blessings: Sacred Buffet Devotee \\ Altar of Blessings: Placeholder 2
ach(62122),	-- Tallest Tree in the Forest
ach(62125),	-- Treasures of Zul'Aman
ach(62126),	-- Treasures of Voidstorm
12.0.0.64339
ach(62130),	-- The Ultimate Predator
ach(62133),	-- Thrill of the Chase
ach(62134),	-- The Deadliest of Prey
ach(62135),	-- Now It's A Party
ach(62136),	-- I'm Good At What I Do
ach(62137),	-- I'm Not Trapped In Here With You
ach(62138),	-- You're Trapped In Here With Me
ach(62139),	-- Midnight Hunter
ach(62140),	-- Kitchen Nightmare
ach(62141),	-- Look, I'm Just Trying To Fish Here
ach(62142),	-- I Didn't Hear No Bell
ach(62143),	-- Trapped In The Middle With You
ach(62145),	-- Dungeon Unlock: Windrunner Spire
ach(62146),	-- Dungeon Unlock: Murder Row
ach(62147),	-- Dungeon Unlock: Den of Nalorakk
ach(62148),	-- Dungeon Unlock: Maisara Caverns
ach(62149),	-- Dungeon Unlock: The Blinding Vale
ach(62150),	-- Dungeon Unlock: Nexus-Point Xenas
ach(62151),	-- Dungeon Unlock: Voidscar Arena
ach(62152),	-- Dungeon Unlock: Magisters' Terrace
ach(62185),	-- Ever Painting
ach(62186),	-- The Party Must Go On
ach(62187),	-- Grand Magister's Sommelier
ach(62188),	-- More Than Just Their Roots
ach(62189),	-- Mind-Seeker
ach(62190),	-- Life of the Party
ach(62191),	-- Call of the Light
ach(62192),	-- Midnight Diplomat
ach(62193),	-- Midnight Dungeon Damage Dealer
ach(62194),	-- Midnight Dungeon Healer
ach(62195),	-- Midnight Dungeon Tank
ach(62196),	-- Midnight Dungeoneer
ach(62199),	-- Put a Pin in It
ach(62200),	-- Gnome Alone
ach(62201),	-- The Frog and the Princesses
ach(62202),	-- Spiritpaw Marathon
ach(62206),	-- Midnight Delver III
ach(62207),	-- Abyss Anglers: Reinforced Joints
ach(62208),	-- Abyss Anglers: Depth Grease
ach(62209),	-- Abyss Anglers: Pahk Trench Fins
ach(62210),	-- Abyss Anglers: Depthdiver's Used Tank
ach(62211),	-- Abyss Anglers: Fathom-Tested Tank
ach(62212),	-- Abyss Anglers: Nalorakk's Breath Tank
ach(62213),	-- Abyss Anglers: Shallows Net
ach(62214),	-- Abyss Anglers: Triple-Thread Net
ach(62215),	-- Abyss Anglers: Heavy Harpoon Cannon
ach(62216),	-- Abyss Anglers: Hollowcore Harpoon Turret
ach(62217),	-- Abyss Anglers: Idol of the Depths
ach(62218),	-- Abyss Anglers: Even The Best
ach(62219),	-- Abyss Anglers: No Sea Can Hold Me
ach(62220),	-- Abyss Anglers: Proper Procedure
ach(62221),	-- Abyss Anglers: Fresh Depth Tech
12.0.0.64499
ach(62144),	-- Prey: Mad Magisters (Hard)
ach(62153),	-- Prey: Insane Inventors (Hard)
ach(62154),	-- Prey: A Different Kind of Void (Hard)
ach(62155),	-- Prey: Ethereal Assassins (Hard)
ach(62156),	-- Prey: Anger Management (Hard)
ach(62157),	-- Prey: Sadistic Shamans (Hard)
ach(62158),	-- Prey: The Fallen Farstriders (Hard)
ach(62159),	-- Prey: Bloody Green Thumbs (Hard)
ach(62160),	-- Prey: Blinded By The Light (Hard)
ach(62161),	-- Prey: Outsmarting the Schemers (Hard)
ach(62162),	-- Prey: Dominating the Void (Hard)
ach(62163),	-- Prey: Chasing Death (Hard)
ach(62164),	-- Prey: No Rest for the Wretched (Hard)
ach(62165),	-- Prey: A Thorn in the Side (Hard)
ach(62166),	-- Prey: Breaking the Blade (Hard)
ach(62167),	-- Prey: Mad Magisters (Nightmare)
ach(62168),	-- Prey: Insane Inventors (Nightmare)
ach(62169),	-- Prey: A Different Kind of Void (Nightmare)
ach(62173),	-- Prey: Ethereal Assassins (Nightmare)
ach(62174),	-- Prey: Anger Management (Nightmare)
ach(62175),	-- Prey: Sadistic Shamans (Nightmare)
ach(62176),	-- Prey: The Fallen Farstriders (Nightmare)
ach(62177),	-- Prey: Bloody Green Thumbs (Nightmare)
ach(62178),	-- Prey: Blinded By The Light (Nightmare)
ach(62179),	-- Prey: Outsmarting the Schemers (Nightmare)
ach(62180),	-- Prey: Dominating the Void (Nightmare)
ach(62181),	-- Prey: Chasing Death (Nightmare)
ach(62182),	-- Prey: No Rest for the Wretched (Nightmare)
ach(62183),	-- Prey: A Thorn in the Side (Nightmare)
ach(62184),	-- Prey: Breaking the Blade (Nightmare) \\ Prey: Breaking the Blade Nightmare)
ach(62222),	-- Abyss Anglers: The Amani Way
ach(62223),	-- Alchemy-on-Demand
12.0.0.64741
ach(62230),	-- Die in a Delve
ach(62232),	-- Blacksmithing-on-Demand
ach(62233),	-- Enchanting-on-Demand
ach(62234),	-- Engineering-on-Demand
ach(62235),	-- Inscription-on-Demand
ach(62236),	-- Jewelcrafting-on-Demand
ach(62237),	-- Leatherworking-on-Demand
ach(62238),	-- Tailoring-on-Demand
ach(62239),	-- Dedicated to the Craft: Alchemy
ach(62240),	-- Dedicated to the Craft: Blacksmithing
ach(62241),	-- Dedicated to the Craft: Enchanting
ach(62242),	-- Dedicated to the Craft: Engineering
ach(62243),	-- Dedicated to the Craft: Inscription
ach(62244),	-- Dedicated to the Craft: Jewelcrafting
ach(62245),	-- Dedicated to the Craft: Leatherworking
ach(62246),	-- Dedicated to the Craft: Tailoring
ach(62247),	-- Herbalism-on-Demand
ach(62248),	-- Mining-on-Demand
ach(62249),	-- Skinning-on-Demand
ach(62250),	-- Dedicated to the Craft: Herbalism
ach(62251),	-- Dedicated to the Craft: Mining
ach(62252),	-- Dedicated to the Craft: Skinning
ach(62256),	-- Yelling into the Voidstorm
ach(62260),	-- That's Aln, Folks!
ach(62261),	-- Forever Song
ach(62262),	-- Silvermoon Court Champion
ach(62263),	-- Amani Tribe Champion
ach(62264),	-- Hara'ti Champion
ach(62265),	-- The Singularity Champion
ach(62266),	-- Abundance: An Acolyte no Longer
ach(62267),	-- A Most Violent Loa
ach(62268),	-- Abundance: Professionals Only
ach(62269),	-- Altar of Blessings: Amani Curious
ach(62270),	-- Altar of Blessings: One for Altar
ach(62271),	-- Abyss Anglers: Trench Berserker
ach(62272),	-- Abyss Anglers: Certified Depthdiver
12.0.1.64889
ach(62273),	-- Echoes of Midnight
ach(62288),	-- Eversong Woods: The Highest Peaks
ach(62289),	-- Zul'Aman: The Highest Peaks
ach(62290),	-- Harandar: The Highest Peaks
ach(62291),	-- Voidstorm: The Highest Peaks
ach(62292),	-- Adventurer Dawncrests earned
ach(62293),	-- Veteran Dawncrests earned
ach(62294),	-- Champion Dawncrests earned
ach(62295),	-- Hero Dawncrests earned
ach(62296),	-- Myth Dawncrests earned
ach(62324),	-- Abundance: Loa of all Trades
ach(62325),	-- Abundance: Treasures Aplenty
ach(62326),	-- Abundance: Golden Opportunities
ach(62329),	-- Abundance: Squash the Competition
ach(62330),	-- Abundance: One Bite at a Time
ach(62331),	-- Abundance: Drops of Prosperity
ach(62332),	-- Abundance: Dundun's Favored
ach(62333),	-- Abundance: Harvester
ach(62336),	-- Abundance: Contributer
ach(62337),	-- Abundance: Professional
ach(62338),	-- Abundance: Artisan
ach(62339),	-- Abundance: Gambler
ach(62340),	-- Abundance: Investor
ach(62341),	-- Abundance: Ain't Dun Till It's Dun
ach(62342),	-- Abyss Anglers: The Finest of Fish
ach(62343),	-- Abyss Anglers: Legends Lurk Beneath
ach(62351),	-- Preying For Midnight
ach(62352),	-- Nothing to See Here
ach(62357),	-- Classically Trained Lumberjack
ach(62358),	-- Outlandish Lumberjack
ach(62359),	-- Wrathful Lumberjack
ach(62360),	-- Cataclysmic Lumberjack
ach(62361),	-- Mist-Shrouded Lumberjack
ach(62362),	-- Lumberjack Warlord
ach(62363),	-- Legion Lumberjack
ach(62364),	-- Azeroth's Lumberjack
ach(62365),	-- Shadowy Lumberjack
ach(62366),	-- Draconic Lumberjack
ach(62369),	-- The Lumberjack Within
ach(62370),	-- Midnight Lumberjack
ach(62371),	-- Couponing for Beginners
ach(62373),	-- Coupon Collector
ach(62374),	-- You Get The Best Deals Anywhere
ach(62375),	-- Buying in Bulk
ach(62376),	-- Extreme Couponing
ach(62377),	-- A Fist Full of Coupons
ach(62378),	-- A Few Coupons More
ach(62383),	-- Gotta Hunt Them All
